;BG;CS;DA;DE;EL;EN;ES;ET;FI;FR;HU;IT;LT;LV;NL;PL;PT;RO;SK;SL;SV;Total
BG;72055;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
CS;0;274770;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
DA;0;0;644827;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
DE;0;0;0;5976728;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
EL;0;0;0;0;1014943;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
EN;0;0;0;0;0;10125800;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
ES;0;0;0;0;0;0;3245591;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
ET;0;0;0;0;0;0;0;43752;0;0;0;0;0;0;0;0;0;0;0;0;0;
FI;0;0;0;0;0;0;0;0;596342;0;0;0;0;0;0;0;0;0;0;0;0;
FR;0;0;0;0;0;0;0;0;0;6479945;0;0;0;0;0;0;0;0;0;0;0;
HU;0;0;0;0;0;0;0;0;0;0;135493;0;0;0;0;0;0;0;0;0;0;
IT;0;0;0;0;0;0;0;0;0;0;0;2949207;0;0;0;0;0;0;0;0;0;
LT;0;0;0;0;0;0;0;0;0;0;0;0;216284;0;0;0;0;0;0;0;0;
LV;0;0;0;0;0;0;0;0;0;0;0;0;0;45796;0;0;0;0;0;0;0;
NL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3072734;0;0;0;0;0;0;
PL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;755850;0;0;0;0;0;
PT;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2740639;0;0;0;0;
RO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;422400;0;0;0;
SK;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;196005;0;0;
SL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;130408;0;
SV;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1357948;
Total;;;;;;;;;;;;;;;;;;;;;;40497517
