;BG;CS;DA;DE;EL;EN;ES;ET;FI;FR;HU;IT;LT;LV;NL;PL;PT;RO;SK;SL;SV;Total_From
BG;0;66154;70069;76181;80830;80967;85739;56408;54036;85926;63506;77687;57186;61075;83005;66210;80315;79479;65548;64020;70979;1425320
CS;196478;0;296835;284469;331283;337973;354971;233827;217726;351319;264746;324697;231883;251627;347820;270823;332783;204571;267377;265558;290784;5657550
DA;61888;94066;0;622321;393145;720273;724304;82594;467099;732544;89412;672232;83051;87407;675792;93910;703561;66481;95525;90136;593910;7149651
DE;969717;1302755;5859988;0;3755500;6563842;6587871;1119949;4269297;6724655;1242284;6138226;1141531;1205344;6289259;1292676;6466945;1023470;1311735;1241982;5089566;69596592
EL;227642;346867;821662;822816;0;908614;968544;297566;586788;981072;341404;876926;304228;322268;882906;342662;924198;238159;350543;341643;795789;11682297
EN;2283929;3156732;9040680;8995861;6536424;0;10422779;2741025;6562528;10519574;3011982;9680342;2748111;2907345;10247917;3118966;10224088;2362513;3166637;3043860;8675377;119446670
ES;356841;523619;2786917;2758970;1710260;3038948;0;442570;1993291;3153544;510302;2872097;461862;481847;3004098;514076;3012580;384613;522627;513246;2480041;31522349
ET;29113;49839;50601;51568;59748;62262;64726;0;39955;64302;46496;59559;43627;45612;61219;49882;64742;30641;50316;49345;55082;1028635
FI;100275;148940;800265;817924;551395;910867;970400;125908;0;981450;143620;870718;131768;137874;895695;148059;925479;107425;150247;139864;765560;9823733
FR;992539;1496065;5643494;5435660;3962215;6242836;6230383;1295515;4053330;0;1465073;5836047;1323428;1398448;6199782;1494359;6043788;1033574;1519061;1460412;5229663;68355672
HU;115505;142564;153350;152541;174307;174643;184068;121392;114129;184146;0;169349;123917;131670;173398;140966;174446;115623;144036;138481;153205;2981736
IT;678421;822895;2824269;2698164;1935040;3020840;3101366;682574;1978870;3118828;764857;0;709745;745019;2936976;801891;2997387;685515;804131;778415;2495813;34581016
LT;227217;240809;258980;259976;297999;286382;321067;198516;193463;317659;219393;288751;0;218704;292468;238550;281804;229865;236171;216685;248047;5072506
LV;42420;51219;55190;54537;63817;64043;67526;43112;41609;67201;49603;60985;44727;0;63350;52334;62689;44503;51003;49869;55581;1085318
NL;280975;438937;2764433;2701815;1894884;3084629;3164531;381726;2010942;3250636;423334;2984255;390069;410104;0;443038;3173807;295929;445893;422375;2646062;31608374
PL;492983;764241;830239;793623;935203;954037;1003669;649607;613410;992891;745482;910677;666524;711209;969089;0;948081;516813;772062;742303;832411;15844554
PT;758721;930224;2382895;2378523;1805411;2666003;2801364;783723;1745879;2795606;908019;2582703;815751;861290;2560003;936429;0;774562;920327;902129;2293243;32602805
RO;406283;359065;380464;408164;444864;437601;476764;293087;284849;459495;344079;425796;313136;326709;428609;357004;436951;0;352709;349910;378614;7664153
SK;128427;190998;214377;200573;242679;241123;258130;164052;158994;256697;189225;235396;168542;182536;244484;196305;242498;134037;0;187183;212552;4048808
SL;39775;128177;123189;131552;147871;156506;163665;104643;85501;155102;114351;141373;103184;116181;144580;123064;141014;41645;123924;0;130900;2416197
SV;212805;303116;1310072;1303951;904111;1518872;1503238;261554;1001737;1620773;295541;1430466;268398;281550;1467200;304208;1468332;223964;304884;297897;0;16282669
Total_From;8601954;11557282;36667969;30949189;26226986;31471261;39455105;10079348;26473433;36813420;11232709;36638282;10130668;10883819;37967650;10985412;38705488;8593382;11654756;11295313;33493179;479876605
