	BG	CS	DA	DE	EL	EN	ES	ET	FI	FR	HU	IT	LT	LV	NL	PL	PT	RO	SK	SL	SV	Total_From
BG	0	66432	73638	76999	82313	81071	86743	56869	54501	86246	64343	78388	58050	61344	83578	67222	80925	79606	65811	64332	72915	1441326
CS	200919	0	307890	295466	342850	347529	364591	240526	224421	362163	273869	334469	247724	259438	361363	280925	342455	209517	275624	272550	305212	5849501
DA	62510	95899	0	635754	436351	731477	742493	83160	476965	748630	90250	690087	84890	88221	688698	95994	719504	67115	97304	91140	626403	7352845
DE	990422	1342758	5986769	0	4611886	6769641	6834128	1153801	4378361	6925360	1280460	6391243	1187188	1244107	6509512	1340054	6707867	1045979	1350578	1280668	5845999	73176781
EL	232673	362919	1052957	1070895	0	1163607	1229285	312441	762905	1248612	359597	1128930	324517	337954	1202769	368049	1180237	243227	368133	357549	1028691	14335947
EN	2290426	3195913	9209227	9200441	7557632	0	10630340	2768919	6691190	10726224	3051175	9942881	2814663	2947148	10512592	3183221	10440076	2378393	3207532	3082697	9135522	122966212
ES	370764	552235	2888146	2864012	2014579	3166017	0	472074	2089370	3249907	534587	2987004	488201	502642	3265273	546302	3100858	399299	554261	533997	2827378	33406906
ET	29343	51486	56362	53500	63370	63968	67174	0	40980	66882	50192	61379	44652	47178	64068	51522	66287	30986	51742	50689	57350	1069110
FI	102168	156171	820181	847846	631246	936999	1020858	131376	0	1002978	149073	916144	138240	143263	918430	155096	959959	109319	156520	147192	810355	10253414
FR	1007202	1540740	5898787	5698460	4685585	6469536	6522212	1338444	4194049	0	1514333	6097475	1384205	1438816	6581513	1556098	6271536	1049880	1561838	1502408	5691286	72004403
HU	117336	145442	157160	154760	178889	177446	187718	124363	116476	188810	0	172626	128442	133754	177029	145718	178553	117669	146726	141003	158665	3048585
IT	688229	840940	2933645	2845866	2210280	3112572	3213106	714898	2061468	3222475	794584	0	732058	769565	3195739	836564	3076462	693565	827192	794430	2792339	36355977
LT	229538	245762	262702	264062	302943	289907	324935	201567	196503	321967	223819	293879	0	221378	299510	243209	285985	232692	239755	219408	259883	5159404
LV	42807	52139	56103	55377	64638	64429	68071	43701	41858	67622	49962	61615	45569	0	64054	52634	63097	44890	52118	50183	56645	1097512
NL	284253	446568	2824442	2816551	2176238	3169156	3260348	387298	2056333	3326769	429823	3081887	399190	416714	0	452360	3275580	301210	453912	429538	2753715	32741885
PL	503667	789926	856451	813718	977924	979944	1035780	672976	632663	1024309	768454	941592	693201	734075	1001420	0	976796	528096	797929	765599	861712	16356232
PT	767268	956775	2461974	2479731	2034532	2754171	2892298	807483	1824441	2884866	931770	2673509	841570	888884	2863251	970936	0	784657	947064	925604	2432946	34123730
RO	417342	368999	399666	419027	458431	449240	491472	304127	293839	472466	356036	437427	323337	337888	443032	371331	449650	0	364216	360711	394083	7912320
SK	130661	195557	220049	205119	249480	245796	263654	169332	162949	262734	193769	241242	175007	185997	250567	202179	247412	137023	0	191716	219222	4149465
SL	40261	131413	142187	145657	160344	160100	168082	111121	93329	160491	123688	147185	110821	120313	161478	129751	160482	42299	132859	0	142873	2584734
SV	214445	311498	1372425	1380503	1029112	1595797	1594994	267225	1051619	1698914	301576	1516659	274673	286895	1544503	312489	1565982	225965	315410	304121	0	17164805
Total_Into	8722234	11849572	37980761	32323744	30268623	32728403	40998282	10361701	27444220	38048425	11541360	38195621	10496198	11165574	40188379	11361654	40149703	8721387	11966524	11565535	36473194	502551094
